service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
293.0.2,0,0,0,0,0,1,0,20240414,20240817
293.0.3,0,0,0,0,0,0,1,20240414,20240817
293.0.4,1,1,1,1,1,0,0,20240414,20240817
293.2.2,0,0,0,0,0,0,0,20240414,20240817
293.2863.2,0,0,0,0,0,0,0,20240414,20240817
293.4194.3,0,0,0,0,0,0,0,20240414,20240817
293.2863.3,0,0,0,0,0,0,0,20240414,20240817
293.1.4,0,0,0,0,0,0,0,20240414,20240817
293.2863.4,0,0,0,0,0,0,0,20240414,20240817
293.1936.4,0,0,0,0,0,0,0,20240414,20240817
293.463.4,0,0,0,0,0,0,0,20240414,20240817
