service_id,date,exception_type
293.10.4,20240415,1
293.133.4,20240415,1
293.10.4,20240416,1
293.133.4,20240416,1
293.10.4,20240417,1
293.133.4,20240417,1
293.10.4,20240418,1
293.133.4,20240418,1
293.10.4,20240419,1
293.133.4,20240419,1
293.2769.4,20240419,1
293.10.4,20240422,1
293.133.4,20240422,1
293.10.4,20240423,1
293.133.4,20240423,1
293.10.4,20240424,1
293.133.4,20240424,1
293.10.4,20240425,1
293.133.4,20240425,1
293.10.4,20240426,1
293.133.4,20240426,1
293.2769.4,20240426,1
293.10.4,20240430,1
293.10.4,20240501,1
293.10.4,20240502,1
293.10.4,20240503,1
293.2769.4,20240503,1
293.127.2,20240504,1
293.10.4,20240506,1
293.10.4,20240507,1
293.10.4,20240508,1
293.10.4,20240509,1
293.10.4,20240510,1
293.2769.4,20240510,1
293.127.2,20240511,1
293.10.4,20240513,1
293.10.4,20240514,1
293.10.4,20240515,1
293.10.4,20240516,1
293.10.4,20240517,1
293.2769.4,20240517,1
293.127.2,20240518,1
293.10.4,20240520,1
293.10.4,20240521,1
293.10.4,20240522,1
293.10.4,20240523,1
293.10.4,20240524,1
293.2769.4,20240524,1
293.127.2,20240525,1
293.3496.2,20240525,1
293.0.22,20240527,1
293.0.4,20240527,2
293.2769.4,20240531,1
293.127.2,20240601,1
293.3496.2,20240601,1
293.1562.4,20240603,1
293.1562.4,20240604,1
293.1562.4,20240605,1
293.1562.4,20240606,1
293.713.4,20240607,1
293.1562.4,20240607,1
293.2769.4,20240607,1
293.127.2,20240608,1
293.3496.2,20240608,1
293.1562.4,20240610,1
293.1562.4,20240611,1
293.1562.4,20240612,1
293.1562.4,20240613,1
293.713.4,20240614,1
293.1562.4,20240614,1
293.2769.4,20240614,1
293.127.2,20240615,1
293.3496.2,20240615,1
293.1562.4,20240617,1
293.1562.4,20240618,1
293.1562.4,20240619,1
293.1562.4,20240620,1
293.713.4,20240621,1
293.1562.4,20240621,1
293.2769.4,20240621,1
293.127.2,20240622,1
293.3496.2,20240622,1
293.1562.4,20240624,1
293.1562.4,20240625,1
293.1562.4,20240626,1
293.1562.4,20240627,1
293.713.4,20240628,1
293.1562.4,20240628,1
293.2769.4,20240628,1
293.127.2,20240629,1
293.1971.2,20240629,1
293.1971.3,20240630,1
293.1562.4,20240701,1
293.1562.4,20240702,1
293.1562.4,20240703,1
293.0.23,20240704,1
293.0.4,20240704,2
293.713.4,20240705,1
293.1562.4,20240705,1
293.2769.4,20240705,1
293.127.2,20240706,1
293.3496.2,20240706,1
293.1562.4,20240708,1
293.1562.4,20240709,1
293.1562.4,20240710,1
293.1562.4,20240711,1
293.713.4,20240712,1
293.1562.4,20240712,1
293.2769.4,20240712,1
293.127.2,20240713,1
293.3496.2,20240713,1
293.1562.4,20240715,1
293.1562.4,20240716,1
293.1562.4,20240717,1
293.1562.4,20240718,1
293.713.4,20240719,1
293.1562.4,20240719,1
293.2769.4,20240719,1
293.127.2,20240720,1
293.3496.2,20240720,1
293.1562.4,20240722,1
293.1562.4,20240723,1
293.0.15,20240724,1
293.0.4,20240724,2
293.1562.4,20240725,1
293.713.4,20240726,1
293.1562.4,20240726,1
293.2769.4,20240726,1
293.127.2,20240727,1
293.3496.2,20240727,1
293.1562.4,20240729,1
293.1562.4,20240730,1
293.1562.4,20240731,1
293.1562.4,20240801,1
293.713.4,20240802,1
293.1562.4,20240802,1
293.2769.4,20240802,1
293.127.2,20240803,1
293.3496.2,20240803,1
293.1562.4,20240805,1
293.1562.4,20240806,1
293.1562.4,20240807,1
293.1562.4,20240808,1
293.713.4,20240809,1
293.1562.4,20240809,1
293.2769.4,20240809,1
293.127.2,20240810,1
293.3496.2,20240810,1
293.1562.4,20240812,1
293.2769.4,20240816,1
293.3496.2,20240817,1
